"first_name","iso639"
"Marianne","de"
"Leopoldo","it"
"Makoto","ja"
"Marcel","hu"
"Ugo","it"
"Ross","en"
"Achille","it"
"Christian","de"
"Maurizio","it"
"Kristian","da"
"Hoechst","de"
"Toots","en"
"Arne","da"
"Kevin","en"
"Florence","en"
"Carlo","it"
"Hugo","de"
"Poul","da"
"Vico","it"
"Ren√","fr"
"Bent","da"
"Carl","da"
"Harri","fi"
"Studio","it"
"Philippe","fr"
"Bruno","sv"
"Oskar","de"
"Helena","sv"
"Fausto","it"
"Hagbard","sv"
"Man","en"
"Gustav","en"
"Kayserzinn","de"
"Greta","sv"
"Shuichi","ja"
"Asao","ja"
"Timo","fi"
"Wilhelm","de"
"Hans","da"
"Lurelle","en"
"Akihiro","ja"
"Yoshihiro","ja"
"Gunta","de"
"Osamu","ja"
"William","en"
"Keiji","ja"
"Flavio","it"
"Reiko","ja"
"W","en"
"Koichi","ja"
"Harold","en"
"Silverman","en"
"Frances","en"
"Louis","en"
"Emile","fr"
"A","en"
"Johann","en"
"Karl","de"
"Jack","en"
"Jon","en"
"Hedda","de"
"Luigi","de"
"Yasuhiro","ja"
"Junichi","ja"
"Shiro","ja"
"Antoni","es"
"Marcello","it"
"G√","fi"
"Hector","fr"
"Ed","en"
"William","de"
"Eiji","ja"
"William","ar"
"Vernon","en"
"Stephen","en"
"Ritva","fi"
"Les","en"
"Tony","en"
"Arthur","en"
"Ernest","en"
"Tomoyuki","ja"
"T","en"
"Ernst","de"
"Erik","da"
"Andries","nl"
"Reynolds","en"
"Jonathan","en"
"Tapio","fi"
"Metall","de"
"Yamazaki","ja"
"Lenore","en"
"Karin","da"
"Thomas","sv"
"Hermann","de"
"Sori","ja"
"Benedikt","de"
"Rex","en"
"Bruno","nl"
"Gerrit","nl"
"Collins","en"
"Peter","da"
"Koloman","de"
"Rolf","de"
"Kyoko","ja"
"J","de"
"Hiroaki","ja"
"Steve","en"
"Antti","fi"
"Gloria","en"
"Dean","en"
"Henning","en"
"Kate","en"
"Svend","da"
"Leslie","en"
"Eva","hu"
"Bauhaus","de"
"Franco","it"
"Eero","fi"
"Olaf","de"
"Vincent","nl"
"Alejandro","es"
"Trude","de"
"Alice","de"
"Bob","en"
"Paul","es"
"Wolf","de"
"Rainer","de"
"Russell","en"
"Irving","en"
"Ingo","de"
"Billie","en"
"Michel","fr"
"Allan","en"
"Arshile","hy"
"Iain","en"
"Anni","de"
"Christopher","en"
"Beatrice","en"
"Mercedes","it"
"Mariano","es"
"Adolph","de"
"Victor","en"
"Romeo","it"
"Marc","en"
"Hutzler","en"
"Johannes","de"
"Harvey","en"
"Sven","sv"
"Alex","en"
"Walter","en"
"Jhoon","en"
"Finn","da"
"Paul","nl"
"Lucie","de"
"Olof","sv"
"Sebastian","en"
"Friedl","de"
"Susan","en"
"George","en"
"Josiah","en"
"Stig","sv"
"Claudio","en"
"Siegfried","de"
"Leni","de"
"Thelma","en"
"Roy","en"
"Lilly","en"
"Roberto","de"
"Giuseppe","it"
"Stephan","de"
"Emilio","it"
"Nanny","fi"
"Gordon","en"
"William","nl"
"Allen","en"
"Figla","ja"
"Deidre","en"
"Joseph","en"
"Trace","en"
"Gunnel","fi"
"CEI","en"
"A","de"
"Eric","en"
"Vera","cs"
"Gerda","sv"
"Claire","de"
"Simon","en"
"Takeshi","ja"
"Waltham","en"
"Moshe","en"
"Mitsubishi","ja"
"FM","en"
"Ern√","hu"
"Alexander","en"
"Jane","en"
"Jacqueline","en"
"Ward","en"
"Sergio","it"
"Jerome","en"
"Casio","ja"
"Antonia","it"
"Fulvio","it"
"Ibi","da"
"Ludovico","it"
"Olli","fi"
"Carl","sv"
"Bronislaw","en"
"Tim","en"
"Mark","en"
"Vallauris","fr"
"Alberto","it"
"Tobia","it"
"Jasper","en"
"Paulus","nl"
"Sanford","en"
"Bashir","en"
"Scott","en"
"Marc","fr"
"Emros","ja"
"Pamela","en"
"Wayman","en"
"Umberto","it"
"Saara","fi"
"Jean","nl"
"Sheila","en"
"Percy","en"
"Yki","zh"
"Werner","de"
"Bill","en"
"Anton","de"
"Kurt","en"
"Fratelli","it"
"Harry","it"
"Jos√","es"
"Dora","fi"
"Deane","en"
"Benita","de"
"Angelo","it"
"Franklin","en"
"Howard","en"
"Hobie","en"
"Torun","sv"
"Samuel","en"
"Guglielmo","it"
"Torben","da"
"Mikael","sv"
"Ford","en"
"Toshiyuki","ja"
"Louis","fr"
"Godtfred","da"
"Jacques","fr"
"Stefano","it"
"Bart","nl"
"Konstantin","de"
"Porsche","de"
"Aleksandr","ru"
"Olof","fi"
"Niels","da"
"√","fr"
"Makio","ja"
"Paul","de"
"Archibald","en"
"Jerry","en"
"Clement","en"
"Skidmore","en"
"Henri","fr"
"Javier","es"
"Nathan","en"
"Mary","en"
"Verner","da"
"August","de"
"Joseph","de"
"Yrj√","fi"
"Laura","en"
"Olivier","fr"
"Gae","it"
"Jay","en"
"Roberto","it"
"Donald","en"
"Gunnar","sv"
"Nils","sv"
"Co","sv"
"Davis","en"
"Gerd","de"
"Takako","ja"
"Aage","da"
"Morison","en"
"Gianfranco","it"
"Udo","de"
"M","en"
"Kari","fi"
"Jan","de"
"Wilfred","de"
"Ursula","en"
"Emma","it"
"Pininfarina","it"
"Luigi","it"
"Dr","en"
"Eleanore","it"
"Giancarlo","it"
"Virgilio","it"
"Arian","nl"
"Rody","nl"
"Douglas","en"
"Hella","nl"
"Aino","fi"
"Tejo","nl"
"Eric","sv"
"Jos","nl"
"Marcel","nl"
"Giandomenico","it"
"Ari","nl"
"Jacob","nl"
"Ruud","nl"
"Isaac","en"
"Nancy","en"
"G√","sv"
"Alan","en"
"Magdalena","pl"
"Lucien","nl"
"Henry","nl"
"Naoki","ja"
"Pierrette","fr"
"Peer","de"
"Darrell","en"
"Giulio","it"
"Gugelot","de"
"Yoshiaki","ja"
"Theodor","de"
"Wendell","en"
"Dietrich","de"
"Tom","en"
"Antonio","it"
"Ezio","it"
"Martin","en"
"Michael","de"
"Isamu","ja"
"Johann","de"
"Anthony","en"
"Gilbert","en"
"Marko","sl"
"Serge","fr"
"Ray","en"
"Floris","nl"
"Morris","de"
"Gio","it"
"Peter","sv"
"Willy","de"
"Moik","de"
"Hans","sv"
"Takahama","ja"
"Oswald","de"
"Owen","en"
"Butch","en"
"Roberto","es"
"Eugene","en"
"Alfred","de"
"Van","en"
"Rudolf","de"
"Wolfgang","de"
"Jim","en"
"Sydney","en"
"Shigeyoshi","ja"
"Andreas","de"
"Dorothy","en"
"Hap","en"
"Dolores","en"
"Henry","en"
"Hector","es"
"Phillip","en"
"Valto","fi"
"Tetsoro","ja"
"Folke","sv"
"Kitaoji","ja"
"Gits","en"
"Cliff","en"
"Monsieur","fr"
"Flemming","da"
"IBM","en"
"Sam","en"
"Gisela","de"
"Sherman","en"
"Elizabeth","en"
"Osvaldo","it"
"IMEC","en"
"Patriz","de"
"Arturo","en"
"Owo","de"
"Nelson","en"
"Hortense","en"
"E","de"
"Claus","de"
"Rudolph","en"
"Gerald","zu"
"Gunnar","da"
"Lia","en"
"Roald","da"
"Lino","it"
"Mutsumi","ja"
"Walter","lv"
"Simon","sv"
"Marli","de"
"Virginia","en"
"No√","fr"
"Ulla","sv"
"Nicos","en"
"Pio","it"
"Gunther","de"
"Neal","en"
"Johannes","da"
"Pierre","fr"
"Andrew","en"
"Floyd","en"
"Herbert","da"
"Heinreich","de"
"Peter","it"
"G√","de"
"Ron","he"
"Grete","da"
"Gerald","en"
"Ekkehard","de"
"Danny","zh"
"Lanier","en"
"Lynn","en"
"Terrance","en"
"Adolph","en"
"C","en"
"Pierre","de"
"Abram","en"
"Alberto","de"
"Gustav","lv"
"Saul","en"
"Georges","fr"
"Roman","pl"
"Sonia","uk"
"Zero","en"
"Jan","pl"
"Otis","en"
"C","de"
"Hannes","de"
"Pablo","es"
"Tamotsu","ja"
"Wim","nl"
"A","fr"
"Frederick","en"
"Ben","lt"
"Wojciech","pl"
"Franz","de"
"Silvio","it"
"Loren","en"
"Tadanori","ja"
"Kiyoshi","ja"
"Donia","en"
"Pieter","nl"
"Natacha","en"
"Lucian","de"
"Otto","en"
"E","en"
"Paul","fr"
"Pat","en"
"Jouineau","fr"
"Gert","nl"
"Austin","en"
"Heinz","de"
"Shigeo","ja"
"April","en"
"Berger","en"
"Akira","ja"
"G","ru"
"Koji","ja"
"Erno","de"
"Henryk","pl"
"Shin","ja"
"Barnett","en"
"Gabriel","es"
"Lester","en"
"Wiktor","pl"
"Markus","de"
"Alexey","ru"
"Maurice","en"
"Hanns","de"
"Boris","ru"
"Andr√","fr"
"Elso","de"
"K√","de"
"Jun","ja"
"Ikko","ja"
"Ben","en"
"Bruce","en"
"H","de"
"Milton","en"
"Theyre","en"
"J","en"
"Aubrey","en"
"Cudsen","en"
"Andy","en"
"Benno","nl"
"Jules","fr"
"Lynch","en"
"F","en"
"Adolphe","nl"
"Gil","en"
"Albert","de"
"Winfred","de"
"Cyan","de"
"Green","en"
"Glenn","en"
"Carpenter","en"
"Haskell","en"
"Armin","de"
"David","lt"
"Hibner","pl"
"Ellsworth","en"
"Willi","de"
"Giovanni","it"
"Harrison","en"
"Eugene","ru"
"Albert","en"
"J","fr"
"Lucas","el"
"Arribas","es"
"Herry","en"
"Arturo","es"
"Jeremy","en"
"L","en"
"Bouillon","fr"
"Firmin","fr"
"Boni","es"
"Marc","be"
"Boutrou","fr"
"J","es"
"Burton","en"
"Cause","fr"
"Otto","ru"
"Ca√","es"
"Coulon","fr"
"Cazals","fr"
"Ferdinand","de"
"Art","en"
"Chambers","en"
"Marcel","fr"
"Alfred","en"
"Raoul","fr"
"Jennifer","en"
"Edgar","en"
"Jose","es"
"Francisco","es"
"Melendreras","es"
"Clyde","en"
"Oliver","es"
"Miguel","es"
"Helmut","de"
"Gottlob","fr"
"Tomoko","en"
"Yusaku","ja"
"Juan","es"
"Vasily","ru"
"Eug√","de"
"Joan","es"
"Berthold","de"
"Charles","fr"
"Unkn","en"
"Fernand","fr"
"Albert","fr"
"Victor","es"
"Sybil","en"
"Ars√","fr"
"Adrian","en"
"Lebegue","fr"
"Beath","en"
"Dick","nl"
"Alphonse","fr"
"Germaine","fr"
"Lobel","fr"
"F","fr"
"Kilian","de"
"Maxine","fr"
"Raoul","nl"
"Eduardo","en"
"Maxfield","en"
"Bonnie","en"
"Dora","en"
"Noury","cs"
"Lovis","en"
"Raymond","fr"
"Rocher","fr"
"Ted","en"
"Graham","en"
"Gaston","fr"
"Th√","fr"
"Hiroshi","ja"
"Adolphe","fr"
"Paula","en"
"Ide","en"
"Steiner","de"
"Niklaus","de"
"Ezra","en"
"Gary","en"
"Laurence","en"
"Armand","fr"
"Bjorn","da"
"Mason","en"
"Dahlgren","en"
"Wes","en"
"Gene","de"
"Philibert","fr"
"G","pl"
"Jima","en"
"Mortimer","en"
"Mike","en"
"Fortunato","it"
"Klara","en"
"Eckersley","en"
"G","en"
"Rapier","en"
"L","de"
"Erik","de"
"Jean","de"
"Federico","en"
"Kenji","ja"
"Piet","nl"
"Charles","nl"
"Gustav","de"
"Frank","nl"
"Lorenzo","es"
"Keith","en"
"Riba","es"
"Oliva","es"
"Maurice","fr"
"Jaume","es"
"Marino","it"
"Xirinin","es"
"Fougasse","en"
"Tontsere","es"
"Arteche","es"
"Saul","ro"
"Takao","ja"
"Antoli","ru"
"Pere","es"
"Francis","fr"
"A","es"
"Jes√","es"
"I","es"
"Fritz","de"
"Herbert","en"
"Pavlos","el"
"Per","da"
"Ivan","en"
"Josep","es"
"Reeves","en"
"Masuteru","ja"
"Donald","de"
"Pedrero","es"
"Mauricio","es"
"Theo","de"
"Bernd","de"
"Imogen","en"
"Jerzy","pl"
"Mieczys≈","pl"
"George","de"
"Julius","en"
"Luba","bg"
"Edgardo","es"
"Atelier","fr"
"Tsuguya","ja"
"Toshifumi","ja"
"Andrzej","pl"
"Harry","de"
"Gerard","nl"
"Akio","ja"
"Lauri","en"
"Ralph","de"
"Shinro","ja"
"Brian","en"
"Akseli","fi"
"Izika","he"
"Thomas","de"
"Christa","nl"
"Antoni","pl"
"Jyrki","fi"
"Christopher","de"
"Emile","de"
"Francis","en"
"Ashley","en"
"Claes","sv"
"Tokiyoshi","ja"
"Antonio","es"
"Helge","da"
"Bengt","sv"
"Hendrikus","nl"
"Joe","en"
"Otl","de"
"Herman","de"
"Netzler","sv"
"Ruodi","de"
"Orrby","sv"
"Thoni","de"
"Anita","en"
"Akihiko","ja"
"Vladimir","ru"
"Kukryniksy","ru"
"D","en"
"Karl","en"
"Dmitrii","ru"
"Viktor","ru"
"Dmitrij","ru"
"V","ru"
"Liebowitz","en"
"Elizaveta","ru"
"Eryk","pl"
"Siegriest","en"
"Lortz","de"
"Roman","de"
"Orell","de"
"Joost","de"
"Cristos","en"
"Xomob","ru"
"Eugen","de"
"Leonetto","it"
"Theo","fr"
"Augusto","de"
"Georg","de"
"Kuron","de"
"Sven","lv"
"Arnold","en"
"Ivo","it"
"Alex","de"
"Celestino","de"
"Heini","de"
"Burkhard","de"
"M","de"
"Filippo","it"
"Josua","de"
"Fridolin","de"
"Helmuth","de"
"Lucio","es"
"Reiss","en"
"Henry","de"
"Willem","nl"
"Almir","pt"
"Jan","cs"
"Slechinsky","de"
"J","nl"
"Franciszek","pl"
"Nina","is"
"Kurt","de"
"Chryssa","el"
"El","ru"
"Huller","de"
"Seymour","en"
"Weigl","de"
"Erling","sv"
"Adolf","de"
"A","it"
"L√","hu"
"Johan","nl"
"Masatoshi","ja"
"Edwin","en"
"Dan","en"
"Grapus","fr"
"Martin","de"
"Brown","en"
"Shizuko","ja"
"Duncan","en"
"Vanessa","en"
"Unkn","de"
"Kit","en"
"Hermann","hi"
"Takenobu","ja"
"Thompson","en"
"Marcin","pl"
"Waldemar","pl"
"Rowe","en"
"George","hu"
"Cesar","de"
"Uwe","de"
"Wolfsberg","de"
"Wasserman","de"
"Sir","en"
"Curtis","en"
"Eve","en"
"Tristram","en"
"Auguste","fr"
"Clive","en"
"Brynhild","en"
"Yarom","he"
"Eduard","de"
"S","en"
"Yoji","ja"
"Rudi","de"
"Rowland","en"
"Bas","nl"
"Christo","bg"
"H","en"
"Anthon","nl"
"Dacres","en"
"Edna","en"
"Hal","en"
"Algernon","en"
"Coy","en"
"Tekening","nl"
"Studio","en"
"U","it"
"Lex","nl"
"Jan","en"
"Hans","en"
"Christian","nb"
"Venna","it"
"B","de"
"Jan","nl"
"Verney","en"
"Il","ru"
"Stanislaw","pl"
"Bronislaw","pl"
"Rigobaldi","it"
"Larry","en"
"Robert","fr"
"Yakov","ru"
"Charles","de"
"Gy√","hu"
"Arthur","de"
"Karel","nl"
"Leo","de"
"Prazsky","cs"
"Ryuichi","ja"
"Sigmar","de"
"Louis","nl"
"Pellegrini","de"
"Gunter","de"
"Budry","el"
"Stevan","en"
"Xanti","de"
"Carlos","de"
"Takahisa","ja"
"Elena","es"
"Dudley","en"
"Teratani","ja"
"Aleksei","ru"
"T√","sv"
"Arndt","de"
"Maciej","pl"
"Jukka","fi"
"Jupp","de"
"Stockmarr","fi"
"Mann","pl"
"Seong","zh"
"Unkn","ru"
"Aijiro","ja"
"Trix","de"
"Weisgerber","de"
"J","pl"
"Gerardus","nl"
"Fussli","de"
"C√","nl"
"W","nl"
"John","de"
"Spilling","de"
"Instituto","pt"
"Ant√","pt"
"Hajo","de"
"Mick","en"
"Clementine","fr"
"K","de"
"Horst","de"
"Karel","cs"
"George","fr"
"Tadeusz","pl"
"K","ja"
"Henny","nl"
"Alfred","fr"
"John","sv"
"Kazumasa","ja"
"Rafal","pl"
"Viktor","de"
"Eugeniusz","pl"
"Tomasz","pl"
"Harumi","ja"
"Carol","es"
"Vilmos","hu"
"Arlene","en"
"Ant","nl"
"Alfredo","es"
"Kurt","da"
"Frantisek","cs"
"Mohamed","ar"
"Lucien","fr"
"L","fr"
"Rudolph","pl"
"Lee","en"
"Conrad","en"
"Dennis","en"
"Arnold","de"
"Mervyn","en"
"Seitaro","ja"
"Keizo","ja"
"Stanley","en"
"Coles","en"
"Woody","en"
"Zdenek","cs"
"Lance","en"
"Yoshio","ja"
"Sidney","en"
"Ethel","en"
"Egon","de"
"Manfred","de"
"Al","en"
"Eleanore","en"
"Solomon","ru"
"Augustin","cs"
"Vittorio","it"
"Josef","cs"
"Walther","de"
"Jacek","pl"
"Klaus","de"
"Armando","it"
"Gottlieb","de"
"Marek","pl"
"Leonid","ru"
"Zdenƒ","cs"
"Yves","de"
"Shichiro","ja"
"Kein","en"
"Jonas","en"
"Herman","en"
"S","fr"
"Schneck","en"
"Stephany","fr"
"Victor","ro"
"Bernard","en"
"Julio","es"
"Max","sv"
"Victor","hu"
"Henri","nl"
"Emmanuel","it"
"Helen","en"
"Marisol","fr"
"Louise","uk"
"Theodoros","en"
"Esteban","es"
"KP","de"
"Lovis","de"
"Heinrich","de"
"Lyonel","en"
"Conrad","de"
"Ren√","de"
"Gerhard","de"
"Jir√","cs"
"Wallace","en"
"Kazimir","uk"
"Kirill","ru"
"Natalia","ru"
"Eduard","nl"
"Hugo","en"
"Len","en"
"Olga","ru"
"Lyubov","ru"
"Jacques","lt"
"Am√","fr"
"Sophie","de"
"Joaqu√","es"
"G√","fr"
"Ossip","fr"
"Giorgio","el"
"Justino","es"
"Nikos","el"
"Ad√","pt"
"Jules","bg"
"L√","fr"
"Camille","fr"
"Louis","pl"
"Natan","ru"
"Arnaldo","it"
"Daniel","fr"
"Pierre","nl"
"Kirsten","en"
"Genevi√","fr"
"Maria","pt"
"Diederick","nl"
"Vagrich","ru"
"Michael","ru"
"Rimma","ru"
"Valery","ru"
"Henry","ru"
"Roland","fr"
"Terry","en"
"Eduardo","es"
"Judith","en"
"Raoul","de"
"Yvonne","en"
"Walter","it"
"Annette","en"
"Vija","lv"
"Ellen","en"
"Trevor","en"
"Michelle","en"
"Mel","en"
"Louisa","en"
"Gregory","en"
"Kiki","de"
"Robin","en"
"Louise","fr"
"Dora","ru"
"Anton","en"
"Juan","en"
"Betzaida","en"
"Seth","en"
"Sabrina","en"
"Red","en"
"Neighborhood","en"
"Lady","en"
"Sebastian","de"
"Missing","en"
"Will","en"
"Stash","en"
"Nadia","en"
"Leonard","en"
"Nicolas","fr"
"Francesco","it"
"Via","de"
"Bernhard","de"
"Roloff","en"
"Zao","fr"
"Kim","en"
"Mikhail","ru"
"Joan","en"
"Jean","ar"
"Sean","en"
"Enrique","es"
"Patrick","en"
"Wols","de"
"Wayne","en"
"Elaine","en"
"Mira","de"
"Vasilii","ru"
"Arman","fr"
"Mabel","es"
"Rebecca","de"
"Gottfried","de"
"Guillermo","es"
"Dorothea","en"
"Melissa","en"
"Jannis","el"
"Eusebio","es"
"Enrico","it"
"Reuben","en"
"Niki","fr"
"Grace","en"
"Matsumi","en"
"Nell","en"
"Varvara","ru"
"Alik","it"
"Gi√","it"
"Gastone","it"
"Pietro","it"
"Josef","en"
"Gerard","en"
"Alice","fr"
"Sol","en"
"Lawrence","en"
"Igor","ru"
"Ezio","en"
"Irene","en"
"Andr√","en"
"Attilio","en"
"Fred","en"
"Adja","lv"
"Letterio","en"
"Salvatore","en"
"Franz","en"
"Constantin","ro"
"Gilberto","it"
"Kara","en"
"Iurii","ru"
"Damien","en"
"Yves","fr"
"Alison","en"
"Masuo","ja"
"Matthew","en"
"Vera","ru"
"Un","ja"
"Haku","ja"
"Sempan","ja"
"Yoshitoshi","ja"
"Sadao","ja"
"Tomio","ja"
"Tamami","ja"
"Umetaro","ja"
"Reika","ja"
"Masaji","ja"
"Dana","en"
"Meg","en"
"Sophie","fr"
"Barbara","en"
"Shusaku","ja"
"Odilon","fr"
"Siah","en"
"Howardena","en"
"Petr","ru"
"Fiona","en"
"Xavier","es"
"Leopoldo","es"
"Ra√","es"
"Pablo","en"
"Vincente","es"
"Agnes","en"
"Ben","it"
"Vinicio","it"
"Fabrizio","it"
"Liberia","it"
"Lev","en"
"Sarkis","fr"
"Luis","es"
"Frank","de"
"Anatoli","ru"
"Rirkrit","es"
"Meret","de"
"Edgard","nl"
"Serge","he"
"Chema","es"
"Alexander","ru"
"Ken","en"
"Reiner","de"
"Edwin","de"
"Georgii","ru"
"Waltercio","pt"
"Murray","en"
"Valentine","fr"
"Wifredo","es"
"Oscar","es"
"Anselm","de"
"Luisa","es"
"Shiko","ja"
"Felix","de"
"Yvonne","de"
"Nachmann","ru"
"Ian","en"
"June","en"
"Rudy","en"
"Rico","it"
"Jos√","en"
"Rufino","es"
"Group","en"
"Ivan","ru"
"Toyofuku","ja"
"A","ru"
"Fran√","fr"
"Birgit","sv"
"Raymond","en"
"Carel","nl"
"Mario","fr"
"Dotty","en"
"Enrique","fr"
"Christine","nl"
"Sylvain","fr"
"M","ar"
"Vito","en"
"Nemesio","es"
"Ilya","ru"
"Mimi","en"
"Giacomo","it"
"Svavar","is"
"Henry","da"
"Egill","da"
"Asger","da"
"Else","da"
"Ejler","da"
"Constant","nl"
"Corneille","nl"
"Sonja","da"
"B","en"
"Antoinette","en"
"Daniel","en"
"Franti≈","cs"
"H√","de"
"Cesare","it"
"Pravoslav","cs"
"Libero","es"
"Boris","en"
"Lette","en"
"Sandro","it"
"Pol","nl"
"Gianni","it"
"Piero","it"
"Adrien","fr"
"Mar√","fr"
"Bryan","en"
"Leopold","de"
"Ottomar","de"
"Josef","hu"
"Janusz","pl"
"Jacob","en"
"Alice","en"
"Avigdor","ro"
"Jacqueline","fr"
"Jacques","ro"
"Serge","de"
"Kay","en"
"Jene","en"
"Carlfriedrich","de"
"Eberhard","de"
"K","ru"
"Joyce","en"
"Salvador","es"
"L√","de"
"Josef","pl"
"Dalla","en"
"Roderick","en"
"Dolf","zu"
"Axel","da"
"Liliana","es"
"Terry","fr"
"Jo√","fr"
"Lois","en"
"Helene","en"
"Eug√","fr"
"Geurt","nl"
"Hans","nl"
"Ad","nl"
"Klaas","nl"
"Dick","en"
"Woody","nl"
"Tommy","en"
"Mauricio","it"
"Arnulf","de"
"Yves","nl"
"Endre","hu"
"Timm","de"
"Marinus","nl"
"Michel","nl"
"Marie","fr"
"Brice","en"
"Ay","ja"
"William","he"
"Shuzo","ja"
"Warja","de"
"Lev","ru"
"Ivor","en"
"Karen","en"
"Tsugouharu","ja"
"Tetsumi","ja"
"Emmett","en"
"Leonel","es"
"Sahlan","it"
"Tullio","it"
"Caryb√","pt"
"Mimmo","it"
"David","es"
"Aristarkh","ru"
"Marcel","he"
"Joseph","fr"
"Stanton","en"
"Alfred","hu"
"Victor","nl"
"Aleksandr","en"
"Georges","nl"
"Serge","ru"
"Farfa","it"
"Agust√","es"
"Ker","fr"
"Aristide","fr"
"Zwi","he"
"Alexandra","ru"
"Manolo","es"
"Frans","nl"
"Carlos","es"
"Kuzma","ru"
"Lasar","ru"
"Max","ru"
"Sonia","pl"
"Morillon","fr"
"Gaspard","fr"
"Enric","es"
"Othon","fr"
"Henriette","fr"
"F√","fr"
"Nicolaas","nl"
"Engel","nl"
"Misztrik","ru"
"Vreni","de"
"Roland","en"
"Geza","fr"
"Julien","en"
"Ithell","en"
"Pic","ro"
"Troels","da"
"Sylvia","en"
"Warrington","en"
"Dolly","en"
"Rona","en"
"Jean","en"
"Merle","en"
"B","ru"
"Bram","nl"
"Jean","fi"
"Martial","fr"
"Ekkeland","de"
"Alain","fr"
"Heribert","de"
"Hamish","en"
"Matthias","de"
"Faith","en"
"Othon","cs"
"Hilaire","fr"
"Romas","en"
"Evgenii","ru"
"Erro","is"
"Yozo","ja"
"Jacques","nl"
"Josaku","ja"
"Lucio","it"
"Hisao","ja"
"Key","ja"
"Miriam","de"
"Guy","fr"
"Toshimitsu","ja"
"Kees","fr"
"Nobuya","ja"
"E","nl"
"Bernard","fr"
"N","hi"
"Yasse","ja"
"Takis","el"
"Tancredi","it"
"Guido","it"
"Claude","fr"
"Bona","it"
"Augustin","es"
"Chinn","zh"
"√","pt"
"Paul","ru"
"Rodolfo","es"
"Andr√","de"
"Marcelle","fr"
"Le√","es"
"Johnny","de"
"Alberto","es"
"Hundertwasser","de"
"Gustave","fr"
"Louis","uk"
"James","nl"
"√","ro"
"D√","fr"
"Rockwell","en"
"Abram","fr"
"Edouard","fr"
"Walasse","en"
"Amedeo","it"
"Richard","da"
"Ruth","en"
"Ruvim","ru"
"David","uk"
"Reuven","ro"
"Bezalel","he"
"Ismael","es"
"Suzanne","fr"
"Maxime","fr"
"Luc","fr"
"Odette","fr"
"Rodolphe","de"
"Maurice","de"
"Mariette","de"
"Valdo","fr"
"Chas","fr"
"Raymonde","fr"
"Berthold","fr"
"Gabriel","fr"
"Henry","fr"
"Edmond","fr"
"Hermine","fr"
"Roderic","en"
"Val√","fr"
"Leonora","en"
"Kimber","en"
"K","da"
"Reinhoud","nl"
"Jorge","en"
"Gabor","en"
"Doug","en"
"Janet","en"
"Tracey","en"
"Anna","it"
"Takashi","ja"
"Ugo","de"
"Nisson","ru"
"Kinji","ja"
"Gego","de"
"Max","es"
"Rudolf","en"
"Ad","en"
"Carol","en"
"Leon","en"
"Thom","en"
"Wessel","nl"
"Savely","ru"
"Krishen","hi"
"Romare","en"
"Ren√","en"
"Blythe","en"
"Morris","en"
"Hannah","de"
"Reg","en"
"Nankoku","ja"
"Pasquale","it"
"Gladys","en"
"L√","ru"
"Sandu","es"
"Land√","en"
"Mario","pt"
"Rogelio","es"
"Balthus","fr"
"Eliot","en"
"Ralston","en"
"Pedro","es"
"Horacio","es"
"Hartmut","de"
"Ernesto","es"
"Ynez","en"
