"first_name","iso639"
"Otto","de"
"Christian","fr"
"Emil","de"
"Bernard","de"
"Louis","et"
"Marcel","de"
"Hans","de"
"Raimund","de"
"Roger","en"
"Michael","en"
"Ludwig","de"
"Erik","sv"
"Steven","en"
"Erich","de"
"Paolo","it"
"Paul","en"
"Peter","en"
"Zaha","ar"
"Fumihiko","ja"
"Frank","en"
"Mario","it"
"Emilio","es"
"Tadao","ja"
"Arata","ja"
"Neil","en"
"David","en"
"Mario","de"
"R","en"
"Alessandro","it"
"Roberto","pt"
"Herbert","de"
"Leon","lb"
"Daniel","pl"
"Aldo","it"
"Joel","en"
"Massimo","it"
"Kenneth","en"
"Richard","en"
"Rafael","es"
"Santiago","es"
"Norman","en"
"Frederick","de"
"Jason","en"
"Konrad","de"
"Ricardo","es"
"Cesar","es"
"Chuck","en"
"Yoshito","ja"
"Theo","nl"
"James","en"
"Iakov","ru"
"Robert","en"
"Harry","en"
"Mehrdad","fa"
"Le","de"
"Oscar","de"
"Edward","en"
"Kisho","ja"
"Richard","de"
"Wiel","nl"
"Toyo","ja"
"Rem","nl"
"Gaetano","it"
"Rafael","en"
"Walter","de"
"John","en"
"Andrea","it"
"Yona","hu"
"Ron","en"
"Max","de"
"Cedric","en"
"Friedrich","de"
"Lauretta","it"
"Ettore","de"
"Foster","en"
"Charles","en"
"Alvar","fi"
"Ben","nl"
"Philip","en"
"Jean","fr"
"Kazuyo","ja"
"Nicholas","en"
"James","it"
"Kaj","fi"
"Josef","de"
"Gustave","de"
"Corning","en"
"Ronald","en"
"Rodolfo","it"
"Robert","de"
"Carl","de"
"Reinhold","de"
"J√","de"
"Roger","fr"
"Dieter","de"
"Bruno","it"
"Gino","it"
"Earl","en"
"Gene","en"
"Nick","de"
"George","sv"
"Thomas","en"
"Bertel","fi"
"Magnus","da"
"Sigurd","sv"
"Russel","en"
"Enzo","it"
"Jens","da"
"Peter","de"
"Masayuki","ja"
"Don","en"
"Koen","nl"
"Michio","ja"
"Nason","it"
"Henning","da"
"Jacob","da"
"Joe","it"
"Giorgio","it"
"Isamu","en"
"Marco","it"
"Marguerite","fr"
"Carl","en"
"Nikolai","ru"
"Kazuo","ja"
